submission,round,segment,refinement_reason,readiness_status,gap_codes,canonical_criteria,coverage_rows_frozen,persona_review_input_bytes,preflight_input_bytes,failing_node,failure_class
1.0,1,0,,unavailable,,0,3,929019,4506,nmr-slop-filter,genuine code finding
2.0,2,0,,gaps,"ambiguous_mapping;missing_coverage",4,1,0,8690,,held at preflight
2.1,2,1,evidence_preflight,ready,,3,3,635924,11363,nmr-test-evidence,evidence not carried forward
3.0,3,0,,gaps,missing_coverage,6,1,0,14720,,held at preflight
3.1,3,1,evidence_preflight,ready,,5,5,627175,20777,nmr-code-quality-judge,phantom coverage
4.0,4,0,,ready,,5,5,698031,27838,nmr-code-quality-judge,phantom coverage
5.0,5,0,,ready,,5,5,767451,34892,nmr-code-quality-judge,phantom coverage
6.0,6,0,,ready,,5,5,815431,41456,nmr-code-design,genuine code finding
7.0,7,0,,gaps,missing_coverage,7,6,0,46667,,held at preflight
7.1,7,1,evidence_preflight,ready,,2,8,895899,43978,nmr-code-quality-judge,phantom coverage
8.0,8,0,,ready,,2,8,918827,47576,nmr-code-quality-judge,phantom coverage
