submission,raw_goal_bytes,raw_goal_opening,intent_fingerprint_prefix,human_decisions
1.0,413,"when a user clicks the ""Retry pi models"" button it returns an error message but",80c58fbd06,1
2.0,413,"when a user clicks the ""Retry pi models"" button it returns an error message but",54d80ed15f,2
2.1,413,"when a user clicks the ""Retry pi models"" button it returns an error message but",be0691a582,3
3.0,413,"when a user clicks the ""Retry pi models"" button it returns an error message but",2456fcb3d3,4
3.1,2924,"# Evidence preflight needs repair Workflow: No-Mistakes Review v14",68b0fe8ade,5
4.0,4005,"Workflow review failed. This is a repair round; address the review packet below.",1ed2cd2b50,6
5.0,4005,"Workflow review failed. This is a repair round; address the review packet below.",663e73c8ff,7
6.0,4005,"Workflow review failed. This is a repair round; address the review packet below.",7e5bc6f3ca,8
7.0,4005,"Workflow review failed. This is a repair round; address the review packet below.",596199a320,8
7.1,2173,"# Evidence preflight needs repair Workflow: No-Mistakes Review v14",808c60b111,8
8.0,4005,"Workflow review failed. This is a repair round; address the review packet below.",1735665872,8
